job_title,job_role,tech_stack
서버 엔진 개발자(C++),서버/백엔드,['C++']
Frontend Developer (프론트엔드 개발자),프론트엔드,"['ReactJS', 'TypeScript', 'Electron', 'Next.js']"
Software Engineer (소프트웨어 엔지니어) - Desktop App,"서버/백엔드, 인공지능(AI), 응용 프로그램","['C#', 'C++', 'TypeScript', 'ReactJS', 'Electron', 'Python', 'Node.js']"
백엔드 개발자,서버/백엔드,"['Linux', 'Java', 'Git', 'REST API', 'MySQL']"
그로스 엔지니어 (프론트엔드 / 부산),프론트엔드,"['JavaScript', 'TypeScript', 'ReactJS', 'Jest', 'Webpack', 'Babel', 'Storybook', 'Azure Emotion', 'React Native Router']"
FLUTTER 프론트엔드 개발자,프론트엔드,"['Dart', 'flutter', 'Git']"
백엔드 개발자,서버/백엔드,"['Node.js', 'Git', 'NoSQL']"
[팀프레시] 아키텍처팀 아키텍트 담당자,"서버/백엔드, 웹 풀스택, 데브옵스","['CI/CD', 'GCP(Google Cloud Platform)', 'Azure']"
Back-End Engineer,"서버/백엔드, 웹 풀스택, 데브옵스","['Amazon Web Services(AWS)', 'JavaScript', 'TypeScript', 'Node.js', 'NestJS', 'REST API', 'Database', 'WebSocket']"
웹 프론트 개발,"프론트엔드, 웹 풀스택","['JavaScript', 'Node.js', 'Vue.js']"
DBA - MySQL,DBA,"['MySQL', 'DBA(Database administration)', 'Java', 'Go', 'Python']"
Back-end Developer,서버/백엔드,"['Node.js', 'REST API', 'MariaDB', 'MongoDB']"
Back-end Developer (Data Platform),"서버/백엔드, 데이터 엔지니어링, DBA","['Python', 'Django', 'PostgreSQL', 'ROS', 'REST API']"
Front-end Developer,프론트엔드,"['JavaScript', 'ReactJS', 'Vue.js', 'ES6', 'Nuxt.js', 'CanvasJS']"
Robotics (SLAM),로보틱스 미들웨어,"['C', 'C++', 'SLAM']"
Robotics (경로계획),로보틱스 미들웨어,"['C', 'C++']"
Computer Vision 알고리즘 개발,"머신러닝, 인공지능(AI)","['C', 'C++', 'OpenCV']"
Deep learning (image) Developer,"머신러닝, 인공지능(AI)","['C++', 'OpenCV', 'Python']"
PCB/펌웨어 설계,임베디드 소프트웨어,"['C', 'C++', 'Python']"
"B/E, F/E 개발자","서버/백엔드, 프론트엔드","['Spring', 'Spring Boot', 'Java', 'PostgreSQL', 'MyBatis', 'JavaScript', 'TypeScript']"
Backend Developer (Node.js),서버/백엔드,['Node.js']
풀스텍개발자,"프론트엔드, 웹 풀스택, 블록체인","['ReactJS', 'Next.js', 'NoSQL', 'GraphQL', 'GitHub', 'Node.js']"
Mobile (Flutter) 개발자,"안드로이드, iOS","['Swift', 'iOS', 'flutter', 'Dart', 'Objective-C', 'Kotlin', 'Java']"
Frontend developer (프론트엔드) React/NodeJS,"프론트엔드, 크로스 플랫폼","['Node.js', 'ReactJS', 'HTML', 'JavaScript', 'CSS']"
기술연구소 백엔드 서버 개발,서버/백엔드,"['Linux', 'C++', 'MySQL', 'Kubernetes']"
기술연구소 프론트엔드 서버 개발,프론트엔드,"['Node.js', 'REST API', 'Docker']"
기술연구소 Application gateway 개발,"안드로이드, iOS","['C++', 'Linux', 'Go']"
엔드포인트보안연구개발실 Cloud개발,"서버/백엔드, 데브옵스","['Linux', 'C++', 'MySQL', 'Kubernetes', 'Python', 'Java']"
엔드포인트보안연구개발실 Infra개발,"서버/백엔드, 시스템/네트워크, 데브옵스","['Linux', 'C++', 'MySQL', 'Kubernetes', 'Python', 'Java']"
엔드포인트보안연구개발실 QA,"시스템/네트워크, 데브옵스, QA","['Linux', 'Java', 'Windows', 'Selenium']"
엔드포인트보안연구개발실 Frontend개발 (시니어),"서버/백엔드, 프론트엔드","['AngularJS', 'Highcharts', 'HTML5', 'CSS3', 'JavaScript', 'ES6', 'Vue.js', 'Kendo UI', 'D3.js', 'Git', 'Webpack', 'Elasticsearch']"
엔드포인트보안연구개발실 Frontend개발 (주니어),"서버/백엔드, 프론트엔드","['AngularJS', 'HTML5', 'CSS3', 'JavaScript', 'Vue.js', 'ReactJS']"
인프라 엔지니어,"서버/백엔드, 시스템/네트워크, 시스템 소프트웨어","['Linux', 'Terraform', 'Python', 'Shell Script', 'Google Cloud Platform', 'Microsoft Azure', 'Amazon Web Services(AWS)', 'OpenStack']"
DevOps Engineer,데브옵스,"['NCP(Naver Cloud Platform)', 'Kubernetes', 'Apache Kafka', 'InfluxDB']"
프론트엔드 소프트웨어 엔지니어,프론트엔드,"['ReactJS', 'Next.js', 'TypeScript']"
백엔드 소프트웨어 엔지니어,서버/백엔드,"['Node.js', 'PostgreSQL', 'TypeScript', 'JavaScript']"
멀티모달(CV/NLP) 엔지니어 (전문연구요원 지원 가능),"머신러닝, 인공지능(AI), 데이터 엔지니어링","['Python', 'Tensorflow', 'PyTorch', 'NLP']"
백엔드 엔지니어,"서버/백엔드, 머신러닝, 게임 서버","['Django', 'Nginx', 'Redis', 'Kubernetes', 'PostgreSQL', 'FastAPI', 'C++', 'C', 'Python', 'Docker', 'Git', 'Linux']"
프론트엔드 엔지니어,"프론트엔드, 웹 풀스택, 웹 퍼블리싱","['PostgreSQL', 'FastAPI', 'Python', 'Docker', 'Git', 'Linux', 'AngularJS', 'CSS', 'HTML', 'JavaScript', 'ReactJS', 'Vue.js']"
시니어 클라우드 엔지니어,"서버/백엔드, 시스템/네트워크, 데브옵스","['Amazon Web Services(AWS)', 'Terraform', 'Ansible', 'Python', 'Apache Kafka', 'Kubernetes']"
블록체인 전송 시스템 운영 담당자,"시스템/네트워크, 블록체인","['Linux', 'Blockchain']"
[FCG] 리드 개발자,"서버/백엔드, 머신러닝, 크로스 플랫폼","['PHP', 'Node.js', 'MySQL', 'Python', 'Redis', 'Spring', 'SQL', 'Tensorflow', 'Git', 'Java']"
PM,"개발PM, 웹 퍼블리싱",['Zeplin']
소프트웨어 개발자,"임베디드 소프트웨어, 응용 프로그램","['C++', 'C#', 'Qt']"
[챌린저스] 백엔드 개발자,서버/백엔드,"['Go', 'gRPC', 'Docker', 'MySQL']"
[챌린저스] 백엔드 리드,서버/백엔드,"['Go', 'gRPC', 'Docker', 'MySQL']"
네트워크 패킷 필터링 개발(C++/화상면접),"시스템 소프트웨어, 인터넷 보안, 응용 프로그램","['C++', 'C', 'Linux', 'OpenVPN', 'OpenSSL', 'Git']"
윈도우 어플리케이션 개발(C#/화상면접),"안드로이드, iOS, 응용 프로그램","['C#', 'WPF', '.NET', 'WCF', 'C++', 'TCP/IP', 'Git']"
DevOps 엔지니어,데브옵스,"['Python', 'Java', 'Node.js', 'Kubernetes', 'Docker', 'AWS ECS', 'GitHub Actions']"
Data Pipeline Team Leader,데이터 엔지니어링,"['Python', 'JavaScript']"
DevOps Engineer,"서버/백엔드, 시스템/네트워크, 데브옵스","['Linux', 'Python', 'Docker']"
"[야놀자에프앤비솔루션] Software Engineer, Front-end - 도도서비스, 나우웨이팅",프론트엔드,"['ReactJS', 'Next.js', 'JavaScript', 'HTML5', 'TypeScript', 'CSS']"
블록체인 가상자산 지갑 개발자,블록체인,"['Java', 'Spring Boot', 'MySQL', 'Go', 'Apache ActiveMQ', 'Solidity']"
"[코스닥상장사] WPF, C# SW 개발","시스템 소프트웨어, 임베디드 소프트웨어","['C#', 'OpenCV', 'C++', 'WPF', 'MVVM(Model-View-ViewModel)', 'Windows', 'Windows Forms', 'SQL']"
[하이지노]ioT 개발자,"시스템 소프트웨어, 개발PM","['Java', 'C#']"
[하이지노]IT 중급개발자(MES/POP/ERP),"시스템/네트워크, 시스템 소프트웨어, 개발PM","['Java', 'C#']"
"[Backend] 백엔드, 풀스택 개발자","서버/백엔드, 프론트엔드, 웹 풀스택","['MySQL', 'MariaDB', 'JavaScript', 'jQuery', 'Node.js', 'PHP', 'Vue.js', 'ReactJS']"
E커머스 솔루션 프론트엔드 개발자,"프론트엔드, 웹 풀스택, 안드로이드","['React Admin', 'Reactor', 'TypeScript']"
Back-end 개발자,서버/백엔드,"['Go', 'Docker', 'Python', 'PostgreSQL', 'InfluxDB', 'GitLab', 'Flask', 'MongoDB', 'Redis']"
[우리엔] 반려동물 웹 어플리케이션 개발자,"프론트엔드, 웹 풀스택","['Vue.js', 'ReactJS', 'Java', 'PHP', 'AWS EC2', 'CSS', 'Node.js']"
Public Cloud Engineer,데브옵스,"['Apache Kafka', 'Kubernetes', 'Terraform', 'AWS EKS', 'Docker', 'Nginx', 'Elasticsearch', 'Datadog', 'Jenkins']"
[런드리고] 머신러닝 엔지니어,"머신러닝, 데이터 엔지니어링","['Python', 'Go', 'PyTorch', 'Tensorflow']"
[런드리고] 클라우드 인프라 엔지니어,"시스템/네트워크, 데브옵스","['Python', 'Go', 'AWS RDS', 'Linux', 'Shell Script']"
AI Researcher / Engineer,"머신러닝, 인공지능(AI), 데이터 엔지니어링","['Keras', 'NLP', 'Tensorflow', 'PyTorch']"
[두잉랩]프론트엔드 개발자,"프론트엔드, 웹 풀스택","['JavaScript', 'TypeScript', 'Python']"
시니어 Software Engineer (Product),"웹 풀스택, 머신러닝, 인공지능(AI)","['Rust', 'C++', 'Java']"
주니어 Software Engineer (Product),"웹 풀스택, 머신러닝, 인공지능(AI)","['Rust', 'C++', 'Java']"
Software Engineer (Product),"웹 풀스택, 머신러닝, 인공지능(AI)","['Rust', 'C++', 'Java']"
시니어 Software Engineer (Frontend),"프론트엔드, 머신러닝, 인공지능(AI)","['Rust', 'C++', 'Java']"
주니어 Software Engineer (Frontend),"프론트엔드, 머신러닝, 인공지능(AI)","['Rust', 'C++', 'Java']"
Software Engineer (Frontend),"프론트엔드, 머신러닝, 인공지능(AI)","['Rust', 'C++', 'Java']"
시니어 Software Engineer (Data),"머신러닝, 인공지능(AI), 데이터 엔지니어링","['Rust', 'C++', 'Java']"
주니어 Software Engineer (Data),"머신러닝, 인공지능(AI), 데이터 엔지니어링","['Rust', 'C++', 'Java']"
Software Engineer (Data),"머신러닝, 인공지능(AI), 데이터 엔지니어링","['Rust', 'C++', 'Java']"
백엔드 엔지니어 (챕터 리드),서버/백엔드,"['Python', 'Django']"
프론트엔드 엔지니어,프론트엔드,"['TypeScript', 'ReactJS', 'Jest', 'Webpack', 'Babel', 'Storybook', 'Azure Emotion', 'React Native Router']"
Web Front end Engineer,"프론트엔드, 웹 풀스택, 그래픽스","['C#', 'C++', 'WPF', 'Qt']"
데이터 엔지니어 (BI),"DBA, 모바일 게임","['Python', 'Google BigQuery']"
백엔드 개발자,서버/백엔드,"['Spring', 'Java', 'JSP']"
무선 Edge Device SW Engineer,"시스템/네트워크, 임베디드 소프트웨어, 사물인터넷(IoT)","['C++', 'Linux', 'RTOS', 'Bluetooth']"
[디지털 헬스케어] Flutter 프론트엔드 개발자,"프론트엔드, 크로스 플랫폼","['flutter', 'Kotlin', 'Dart', 'Swift', 'Rust', 'Android', 'iOS']"
프론트엔드 개발자(꾸그 웹),프론트엔드,"['TypeScript', 'React Hooks API', 'ReactJS']"
백엔드 개발자,"서버/백엔드, 시스템/네트워크","['Java', 'Spring']"
"프론트, 백엔드 개발자","서버/백엔드, 프론트엔드, 웹 풀스택","['Python', 'Java', 'JavaScript', 'Spring']"
데이터 분석 및 AI 개발자,"머신러닝, 인공지능(AI), 데이터 엔지니어링","['Python', 'PyTorch', 'Tensorflow', 'Pandas']"
프론트엔드 개발자,"프론트엔드, 크로스 플랫폼","['ReactJS', 'React Native', 'AWS S3', 'AWS CloudFront', 'AWS EC2', 'AWS Lambda', 'Next.js']"
모바일 SW 팀장 (Senior Software Engineer),"안드로이드, iOS","['ReactJS', 'Gradle', 'Firebase', 'RxJava', 'React Native', 'Android', 'Kotlin', 'Java', 'iOS', 'REST API', 'JavaScript', 'Swift']"
5G 기지국 소프트웨어 개발,"서버/백엔드, 시스템/네트워크, 시스템 소프트웨어","['Linux', 'C', 'C++']"
[Blockchain] Backend Engineer,"서버/백엔드, 블록체인","['Git', 'Linux', 'Solidity', 'MongoDB', 'Go', 'Redis', 'GCP(Google Cloud Platform)']"
데이터 엔지니어,데이터 엔지니어링,"['OpenCV', 'Machine Vision', 'NoSQL', 'PyTorch', 'Tensorflow', 'Docker', 'ML Kit', 'C++', 'C', 'CUDA', 'Big Data', 'Apache Kafka']"
3D 딥러닝 엔지니어,"머신러닝, VR/AR/3D","['3Ds Max', 'PyTorch', 'Docker', 'Kubernetes']"
[디스민즈워] QA 테스터(PC/Console),"QA, 크로스 플랫폼",['JIRA']
AI Engineer / LLM / ASR,"머신러닝, 인공지능(AI)","['Python', 'Pandas', 'Docker', 'PyTorch', 'NLP']"
C++ 엔지니어,"데이터 엔지니어링, 임베디드 소프트웨어","['C++', 'Linux', 'Python', 'MySQL', 'Docker']"
자율주행 데이터 솔루션 Front-End 개발자,프론트엔드,"['ReactJS', 'JavaScript', 'CSS', 'ES6']"
[TmaxBI] 연구원,"서버/백엔드, 프론트엔드","['CSS', 'HTML', 'JavaScript', 'Java']"
Android 개발자,안드로이드,"['Kotlin', 'Android']"
Mobile Engineer(안드로이드),"안드로이드, iOS","['Android', 'Kotlin', 'Swift', 'Jetpack', 'Dagger2', 'Glide', 'GitHub flow', 'JIRA']"
Mobile Engineer(iOS),"안드로이드, iOS","['iOS', 'Swift', 'Firebase', 'GitHub', 'JIRA']"
4G/5G Core 소프트웨어 개발,"서버/백엔드, 시스템/네트워크, 시스템 소프트웨어","['Linux', 'C', 'C++']"
비바이노베이션_개발_서버파트 부문,"서버/백엔드, 데이터 엔지니어링","['Git', 'MongoDB', 'MySQL', 'Python']"
백엔드 개발(게임 퍼블리싱 플랫폼),"서버/백엔드, 모바일 게임, 크로스 플랫폼","['REST API', 'Java', 'Spring', 'Spring Boot', 'Redis', 'Kubernetes']"
Data Analytics Engineer,데이터 엔지니어링,"['AWS IAM', 'AWS VPC', 'AWS EC2', 'Terraform', 'Docker', 'MariaDB', 'PostgreSQL', 'Tableau']"
웹 서비스 및 플랫폼 사업 개발자,웹 풀스택,"['Java', 'ReactJS', 'SQL', 'JSP', 'Spring Boot']"
모바일 앱 개발,"안드로이드, iOS","['Android', 'iOS', 'React Native']"
"Senior Software Engineer, Back-end - 커머스플랫폼",서버/백엔드,"['Java', 'Spring', 'gRPC', 'Kubernetes']"
[App/Web] 프론트엔드 백엔드 개발자,"서버/백엔드, 프론트엔드, 웹 풀스택","['Node.js', 'flutter', 'React Admin']"
Data Engineer - Infra,데이터 엔지니어링,"['Apache Hadoop', 'Apache Spark', 'Apache Kafka', 'Azure', 'Google Cloud Platform']"
해운 물류 운영 ERP 시스템 리더급 개발자,"서버/백엔드, 시스템 소프트웨어, 데브옵스","['Vue.js', 'Go', 'C', 'C++', 'Docker', 'PHP', 'MySQL', 'Azure', 'Java', 'JavaScript', 'MSSQL(Microsoft SQL Server)', 'REST API', 'Visual Basic', 'VB .NET']"
Software Engineer - AD Platform,시스템 소프트웨어,"['Java', 'Python', 'Kotlin', 'Spring', 'JPA(Java Persistent API)', 'Apache Spark', 'Presto', 'Apache Hive', 'Kubernetes', 'Apache Kafka', 'AWS Kinesis']"
자율주행 데이터 솔루션 JAVA Back-End 개발자,서버/백엔드,"['Java', 'Spring', 'Redis', 'MySQL']"
자율주행 데이터 솔루션 DevOps 엔지니어,"서버/백엔드, 데이터 엔지니어링","['Linux', 'Git', 'GCP(Google Cloud Platform)']"
백엔드 엔지니어 (서버),"서버/백엔드, 모바일 게임, 시스템/네트워크","['C', 'C++', 'JavaScript', 'Go', 'AWS EC2', 'Kubernetes', 'AWS EKS', 'AWS RDS']"
Software Engineer - Java / Oneday Interview,시스템 소프트웨어,"['Java', 'Spring', 'CI/CD']"
[감독솔루션팀]BE개발자,서버/백엔드,"['Ruby on Rails', 'Redis', 'PostgreSQL', 'Docker', 'AWS Lambda', 'AWS DynamoDB', 'Python']"
System Trading Developer,서버/백엔드,"['C++', 'Python', 'C#', 'MySQL', 'Java']"
"Senior Software Engineer, Back-end - Outbound","서버/백엔드, 시스템 소프트웨어","['Java', 'Spring', 'SQL']"
AI 모델 유지관리를 위한 데이터 매니저,"머신러닝, 데이터 엔지니어링","['Python', 'YOLO']"
인공지능 인지(PERCEPTION)모델 및 학습기법 연구개발 및 운영,"머신러닝, 인공지능(AI), 데이터 엔지니어링","['Python', 'C++']"
AI/ML 연구원,"머신러닝, 인공지능(AI), 데이터 엔지니어링","['Python', 'Tensorflow', 'PyTorch']"
[소프트웨어사업본부] BE개발,서버/백엔드,"['Go', 'Node.js', 'Amazon Web Services(AWS)', 'Docker', 'Kubernetes', 'MySQL', 'Rancher', 'Gin']"
[소프트웨어사업본부] FE개발,프론트엔드,"['ES6', 'TypeScript', 'Sass(SCSS)', 'styled-components', 'Vuetify.js', 'Vue CLI', 'Babylon.js', 'ReactJS', 'Webpack', 'Vue.js', 'JavaScript']"
[멤버스IS팀] 서버 운영,시스템/네트워크,"['IBM AIX', 'Linux', 'Windows']"
프론트엔드 개발,프론트엔드,"['TypeScript', 'zustand', 'Storybook', 'Jenkins', 'GitHub']"
백앤드개발자,서버/백엔드,['Python']
"Software Engineer, Private Clouds","서버/백엔드, 데브옵스","['Python', 'OpenStack']"
서버 및 인프라 개발자,"서버/백엔드, 시스템/네트워크, 데브옵스","['GitHub Actions', 'Python', 'Shell Script', 'Linux', 'Terraform', 'Ansible']"
DevOps 개발자,"서버/백엔드, 시스템/네트워크, 데브옵스","['GitHub Actions', 'Python', 'Shell Script', 'Linux', 'Terraform', 'Ansible', 'Kubernetes']"
웹 그래픽(F/E) 개발자,"프론트엔드, 웹 퍼블리싱, 그래픽스","['HTML5', 'CSS', 'JavaScript', 'ES6', 'Vue.js', 'Nuxt.js', 'ReactJS', 'AngularJS', 'Angular', 'Webpack', 'Babel', 'REST API', 'Vanilla JS', 'Rust']"
임베디드 소프트웨어/펌웨어 주니어 개발자,"임베디드 소프트웨어, 사물인터넷(IoT)","['C', 'Assembly', 'BLE(Bluetooth Low Energy)']"
개발팀_팀장부문,"서버/백엔드, 시스템 소프트웨어, 개발PM","['Java', 'Swift', 'React Native', 'Django']"
PHP 풀스택 개발자,"서버/백엔드, 웹 풀스택, 웹 퍼블리싱","['PHP', 'Java', 'Laravel']"
React Native 개발 (주)비비바바(VIVIVAVA),"프론트엔드, 안드로이드, 크로스 플랫폼",['React Native']
Application Engineer,"서버/백엔드, 시스템/네트워크","['Java', 'Python', 'Apache Kafka', 'Linux']"
