job_title,job_role,tech_stack
"백엔드 개발자(SI개발) : 백엔드 설계,API 개발 및 연동작업 ,데이터베이스 설계/구축","서버/백엔드, 데이터 엔지니어링, DBA","['Java', 'Python', 'Database']"
Frontend Engineer,"프론트엔드, 웹 풀스택","['TypeScript', 'Next.js', 'ReactJS']"
"DW데이터엔지니어 : DW/DM 설계 구축,데이터분석","데이터 엔지니어링, DBA, 시스템/네트워크","['Data Analysis', 'SQL', 'Querydsl']"
"구글 애널리틱스(Google Analytics) 개발자 : GA도입,코딩구현 분석","안드로이드, iOS, 데이터 엔지니어링","['Kotlin', 'Java', 'Swift', 'Objective-C', 'JavaScript']"
"시스템 개발,시스템/솔루션 구축","데이터 엔지니어링, DBA, 개발PM","['Python', 'Java', 'Node.js']"
시니어 백엔드 개발자 (Java/Kotlin),서버/백엔드,"['Java', 'Kotlin', 'MySQL']"
DevOps 엔지니어,데브옵스,"['CI/CD', 'Terraform', 'Python']"
테크팀 풀스택 개발자[AI/머신러닝/R&D],"웹 풀스택, 머신러닝, 데이터 엔지니어링","['Python', 'Vue.js', 'TypeScript', 'Next.js', 'Redux.js', 'Elasticsearch', 'Machine Learning', 'Big Data', 'ReactJS', 'JavaScript']"
웹 서비스 개발자,개발PM,"['JIRA', 'Zeplin', 'PowerBuilder', 'Azure']"
프론트엔드 엔지니어 (발란몰),"프론트엔드, 웹 풀스택","['Vue.js', 'Nuxt.js', 'TypeScript', 'JavaScript', 'HTML', 'CSS', 'ReactJS', 'Next.js']"
IOS/Android 앱개발자,"안드로이드, iOS, 블록체인","['Git', 'Swift', 'Kotlin', 'Java']"
서버/백엔드 개발자,서버/백엔드,"['Python', 'Node.js', 'MySQL']"
"웹개발자/풀스텍/프론트,백엔드","서버/백엔드, 프론트엔드, 웹 풀스택","['MySQL', 'Java', 'Spring', 'JavaScript', 'ReactJS', 'Python', 'Git', 'Docker', 'PHP', 'Node.js', 'HTML', 'jQuery']"
보안 솔루션 및 플랫폼 개발자,"서버/백엔드, 시스템/네트워크, 시스템 소프트웨어","['C', 'C++', 'Go', 'Linux', 'Kubernetes', 'Docker', 'Git', 'Java', 'Python']"
Application 기반 보안엔진개발 (팀원급),"시스템/네트워크, 시스템 소프트웨어, 인터넷 보안","['C', 'Ubuntu', 'OpenSSL', 'PostgreSQL', 'Docker', 'Linux']"
Cloud기반 협업 서비스 개발,"서버/백엔드, 프론트엔드, 웹 풀스택","['Java', 'JavaScript', 'REST API', 'ReactJS', 'Linux']"
정보보안 제품 및 서비스 개발자 / 코스닥 상장사,"웹 풀스택, 시스템/네트워크, 시스템 소프트웨어","['NetworkX', 'Azure', 'GCP(Google Cloud Platform)']"
클라우드 보안 서비스 기술지원 엔지니어,"시스템/네트워크, 인터넷 보안, QA","['Linux', 'Docker']"
CAD/그래픽스 연구개발자,그래픽스,"['C++', 'C#']"
AI Engineer,"머신러닝, 인공지능(AI)","['Python', 'Tensorflow', 'PyTorch']"
오픈업 데이터 엔지니어 (Python),"서버/백엔드, 데이터 엔지니어링","['Python', 'SQL', 'Apache Spark']"
IT Systems Engineer,시스템/네트워크,"['Linux', 'centOS', 'Ubuntu', 'Shell Script', 'Ansible']"
FPGA Engineer,상시 채용,"['Verilog', 'VHDL', 'TCP/IP', 'Linux', 'C++']"
리사이클링 솔루션 개발자(BackEnd/FullStack),서버/백엔드,"['Java', 'Spring Boot', 'MySQL', 'REST API', 'Docker', 'BitBucket', 'AWS EC2', 'AWS S3', 'AWS RDS']"
리사이클링 솔루션 개발자(FrontEnd/FullStack),프론트엔드,"['ReactJS', 'JavaScript', 'HTML5', 'CSS', 'Electron', 'Vue.js', 'ES6', 'TypeScript']"
백엔드 Senior,서버/백엔드,"['Amazon Web Services(AWS)', 'Linux', 'MongoDB', 'GitHub', 'MySQL', 'Node.js', 'Python', 'Nginx', 'TypeScript', 'NestJS']"
[지니웍스] 백엔드(Back-end) 개발자,서버/백엔드,"['Java', 'Spring Boot', 'JavaScript', 'JSP', 'Git', 'REST API', 'Linux', 'MySQL', 'NoSQL', 'Nginx', 'Redis', 'ES6']"
[지니웍스] 프론트엔드(Front-end) 개발자,프론트엔드,"['JavaScript', 'ES6', 'HTML', 'CSS', 'REST API', 'Bootstrap', 'AWS S3', 'AWS CloudFront', 'AWS CodeCommit']"
시니어 백엔드 개발자,서버/백엔드,"['Java', 'Spring Boot']"
MLOps Engineer,"서버/백엔드, 머신러닝, 데브옵스","['MySQL', 'Python', 'AWS DynamoDB', 'Kubernetes', 'PostgreSQL']"
SW 개발자,"데이터 엔지니어링, 시스템/네트워크, 응용 프로그램","['C++', 'Qt', 'VTK', 'CUDA', 'OpenCV']"
프론트엔드 개발자,프론트엔드,"['Vue.js', 'HTML', 'CSS', 'ES6']"
Front-end Developer,프론트엔드,"['TypeScript', 'ReactJS', 'JavaScript']"
Software Engineering Intern,"서버/백엔드, 프론트엔드, 웹 풀스택","['Python', 'ReactJS', 'Django']"
Android 개발자,안드로이드,"['Android', 'Kotlin', 'Java']"
iOS 개발자,iOS,"['iOS', 'Objective-C', 'Swift']"
Back-end 개발자,서버/백엔드,"['Django', 'Docker', 'Git', 'Java', 'Node.js', 'Spring', 'Python']"
프론트엔드 및 백엔드 개발자,"서버/백엔드, 프론트엔드","['Spring', 'Java', 'MySQL', 'JavaScript', 'jQuery']"
node.js 개발자,서버/백엔드,"['JavaScript', 'Node.js', 'ExpressJS', 'Sequelize.js', 'REST API', 'MySQL']"
바이오 공정 장비/시스템 제어 연구원,"시스템/네트워크, 임베디드 소프트웨어, 응용 프로그램","['C#', 'C', 'C++', 'Linux', 'Qt', 'WPF', 'Ubuntu']"
시니어 개발자,"서버/백엔드, 프론트엔드, 웹 풀스택","['JavaScript', 'MySQL', 'PHP', 'Python']"
[AI Startup] AI Researcher / Engineer,"머신러닝, 인공지능(AI), 데이터 엔지니어링","['Keras', 'NLP', 'Tensorflow', 'PyTorch']"
파이썬 개발자,"서버/백엔드, 웹 풀스택, 데이터 엔지니어링","['Python', 'IoT', 'Django', 'FastAPI', 'Pandas', 'Tensorflow', 'PyTorch', 'AWS CloudWatch']"
Python 개발자,"서버/백엔드, 웹 풀스택, 시스템/네트워크","['Django', 'DRF(Django REST framework)', 'Python', 'AWS EC2', 'PostgreSQL']"
"오픈소스 AI 운영 및 개발 플랫폼 개발(백엔드, 프론트, DevOps)","서버/백엔드, 프론트엔드, 데브옵스","['Python', 'Node.js', 'JavaScript', 'ReactJS', 'Docker', 'PostgreSQL', 'Redis', 'etcd']"
Flutter(w.Andriod or iOS) 개발,"프론트엔드, 안드로이드, iOS","['Firebase', 'flutter', 'Android', 'iOS']"
"Generative AI 서비스(Image, NLP) 개발","서버/백엔드, 인공지능(AI)","['PostgreSQL', 'Python', 'NLP']"
백엔드 개발자,서버/백엔드,"['JavaScript', 'MySQL', 'Node.js']"
프론트엔드 개발자,프론트엔드,"['JavaScript', 'Node.js', 'Angular']"
펌웨어 엔지니어,"임베디드 소프트웨어, 사물인터넷(IoT)","['C', 'Python', 'MQTT']"
VAN기반 PG시스템 신규 구축 개발자,"서버/백엔드, DBA, 시스템/네트워크","['Java', 'Spring Boot', 'Spring Data JPA', 'Oracle', 'MyBatis', 'MariaDB', 'Azure Cache for Redis', 'Git']"
Software Engineer(기술지원),"시스템/네트워크, 응용 프로그램, 개발PM","['C', 'C++', 'Python']"
